ticker,quarter_end_date,nav,announcement_date,Unnamed: 0,trade_date,permno,ticker_1,price,ret,vol,shrout
ARCC,2019-09-30,17.26,2019-10-30 00:00:00,984,2019-10-29 00:00:00,90401,ARCC,18.53,0.003249,1773096.0,427194.0
ARCC,2019-09-30,17.26,2019-10-30 00:00:00,985,2019-10-30 00:00:00,90401,ARCC,18.53,0.0,2127213.0,427194.0
ARCC,2019-09-30,17.26,2019-10-30 00:00:00,986,2019-10-31 00:00:00,90401,ARCC,18.3,-0.012412,3389160.0,427194.0
ARCC,2019-09-30,17.26,2019-10-30 00:00:00,987,2019-11-01 00:00:00,90401,ARCC,18.5,0.010929,2143580.0,427194.0
ARCC,2019-06-30,17.27,2019-07-30 00:00:00,919,2019-07-29 00:00:00,90401,ARCC,18.22,0.000549,1671841.0,426721.0
ARCC,2019-06-30,17.27,2019-07-30 00:00:00,920,2019-07-30 00:00:00,90401,ARCC,18.7,0.026345,3152048.0,426721.0
ARCC,2019-06-30,17.27,2019-07-30 00:00:00,921,2019-07-31 00:00:00,90401,ARCC,18.57,-0.006952,2003720.0,426721.0
ARCC,2019-06-30,17.27,2019-07-30 00:00:00,922,2019-08-01 00:00:00,90401,ARCC,18.32,-0.013463,2298683.0,426721.0
ARCC,2019-06-30,17.27,2019-07-30 00:00:00,923,2019-08-02 00:00:00,90401,ARCC,18.44,0.00655,1519742.0,426721.0
ARCC,2019-03-31,17.21,2019-04-30 00:00:00,856,2019-04-29 00:00:00,90401,ARCC,17.67,0.004548,1538394.0,426298.0
ARCC,2019-03-31,17.21,2019-04-30 00:00:00,857,2019-04-30 00:00:00,90401,ARCC,18.0,0.018676,2598159.0,426298.0
ARCC,2019-03-31,17.21,2019-04-30 00:00:00,858,2019-05-01 00:00:00,90401,ARCC,17.7,-0.016667,2152265.0,426298.0
ARCC,2019-03-31,17.21,2019-04-30 00:00:00,859,2019-05-02 00:00:00,90401,ARCC,17.66,-0.00226,1594692.0,426298.0
ARCC,2019-03-31,17.21,2019-04-30 00:00:00,860,2019-05-03 00:00:00,90401,ARCC,17.74,0.00453,1310594.0,426298.0
ARCC,2018-12-31,17.12,2019-02-12 00:00:00,803,2019-02-11 00:00:00,90401,ARCC,16.6,0.003628,2159783.0,426298.0
ARCC,2018-12-31,17.12,2019-02-12 00:00:00,804,2019-02-12 00:00:00,90401,ARCC,17.07,0.028313,5360889.0,426298.0
ARCC,2018-12-31,17.12,2019-02-12 00:00:00,805,2019-02-13 00:00:00,90401,ARCC,17.08,0.000586,2481098.0,426298.0
ARCC,2018-12-31,17.12,2019-02-12 00:00:00,806,2019-02-14 00:00:00,90401,ARCC,17.15,0.004098,2636679.0,426298.0
ARCC,2018-12-31,17.12,2019-02-12 00:00:00,807,2019-02-15 00:00:00,90401,ARCC,17.16,0.000583,2896157.0,426298.0
ARCC,2018-09-30,17.16,2018-10-31 00:00:00,733,2018-10-29 00:00:00,90401,ARCC,16.27,0.009305,1970441.0,426298.0
ARCC,2018-09-30,17.16,2018-10-31 00:00:00,734,2018-10-30 00:00:00,90401,ARCC,16.27,0.0,1678896.0,426298.0
ARCC,2018-09-30,17.16,2018-10-31 00:00:00,735,2018-10-31 00:00:00,90401,ARCC,17.16,0.054702,4516578.0,426298.0
ARCC,2018-09-30,17.16,2018-10-31 00:00:00,736,2018-11-01 00:00:00,90401,ARCC,17.24,0.004662,2905285.0,426298.0
ARCC,2018-09-30,17.16,2018-10-31 00:00:00,737,2018-11-02 00:00:00,90401,ARCC,17.15,-0.00522,2648156.0,426298.0
ARCC,2018-06-30,17.05,2018-08-01 00:00:00,669,2018-07-30 00:00:00,90401,ARCC,16.78,-0.003563,1866476.0,426298.0
ARCC,2018-06-30,17.05,2018-08-01 00:00:00,670,2018-07-31 00:00:00,90401,ARCC,16.85,0.004172,1509909.0,426298.0
ARCC,2018-06-30,17.05,2018-08-01 00:00:00,671,2018-08-01 00:00:00,90401,ARCC,17.2,0.020772,2387221.0,426298.0
ARCC,2018-06-30,17.05,2018-08-01 00:00:00,672,2018-08-02 00:00:00,90401,ARCC,17.24,0.002326,1471955.0,426298.0
ARCC,2018-06-30,17.05,2018-08-01 00:00:00,673,2018-08-03 00:00:00,90401,ARCC,17.29,0.0029,1350133.0,426298.0
ARCC,2018-03-31,16.96,2018-05-02 00:00:00,606,2018-04-30 00:00:00,90401,ARCC,16.04,0.000624,1553795.0,426298.0
ARCC,2018-03-31,16.96,2018-05-02 00:00:00,607,2018-05-01 00:00:00,90401,ARCC,16.02,-0.001247,1572462.0,426298.0
ARCC,2018-03-31,16.96,2018-05-02 00:00:00,608,2018-05-02 00:00:00,90401,ARCC,16.08,0.003745,2957445.0,426298.0
ARCC,2018-03-31,16.96,2018-05-02 00:00:00,609,2018-05-03 00:00:00,90401,ARCC,16.23,0.009328,2270874.0,426298.0
ARCC,2018-03-31,16.96,2018-05-02 00:00:00,610,2018-05-04 00:00:00,90401,ARCC,16.31,0.004929,1854038.0,426298.0
ARCC,2017-12-31,16.65,2018-02-13 00:00:00,553,2018-02-12 00:00:00,90401,ARCC,15.58,0.007762,2582058.0,426299.0
ARCC,2017-12-31,16.65,2018-02-13 00:00:00,554,2018-02-13 00:00:00,90401,ARCC,15.91,0.021181,2622981.0,426299.0
ARCC,2017-12-31,16.65,2018-02-13 00:00:00,555,2018-02-14 00:00:00,90401,ARCC,16.08,0.010685,2152345.0,426299.0
ARCC,2017-12-31,16.65,2018-02-13 00:00:00,556,2018-02-15 00:00:00,90401,ARCC,15.9,-0.011194,2434829.0,426299.0
ARCC,2017-12-31,16.65,2018-02-13 00:00:00,557,2018-02-16 00:00:00,90401,ARCC,15.98,0.005031,1387709.0,426299.0
ARCC,2017-09-30,16.49,2017-11-02 00:00:00,482,2017-10-30 00:00:00,90401,ARCC,16.13,-0.007385,2438817.0,426299.0
ARCC,2017-09-30,16.49,2017-11-02 00:00:00,483,2017-10-31 00:00:00,90401,ARCC,16.08,-0.0031,2548125.0,426299.0
ARCC,2017-09-30,16.49,2017-11-02 00:00:00,484,2017-11-01 00:00:00,90401,ARCC,16.04,-0.002488,2089179.0,426299.0
ARCC,2017-09-30,16.49,2017-11-02 00:00:00,485,2017-11-02 00:00:00,90401,ARCC,15.85,-0.011845,3116445.0,426299.0
ARCC,2017-09-30,16.49,2017-11-02 00:00:00,486,2017-11-03 00:00:00,90401,ARCC,15.99,0.008833,1963169.0,426299.0
ARCC,2017-06-30,16.54,2017-08-02 00:00:00,418,2017-07-31 00:00:00,90401,ARCC,16.39,-0.001827,1238481.0,426299.0
ARCC,2017-06-30,16.54,2017-08-02 00:00:00,419,2017-08-01 00:00:00,90401,ARCC,16.41,0.00122,1378627.0,426299.0
