permno,ticker,price,ret,vol,shrout,trade_date
92309,MAIN,44.46,-0.008475,248060.0,69583.0,2022-01-13
92309,MAIN,44.09,-0.008322,392869.0,69583.0,2022-01-14
92309,MAIN,44.53,0.00998,344585.0,69583.0,2022-01-18
92309,MAIN,44.6,0.001572,294055.0,69583.0,2022-01-19
92309,MAIN,43.61,-0.022197,297720.0,69583.0,2022-01-20
92309,MAIN,42.41,-0.027517,629738.0,69583.0,2022-01-21
92309,MAIN,41.08,-0.031361,1135649.0,69583.0,2022-01-24
92309,MAIN,42.84,0.042843,549060.0,69583.0,2022-01-25
92309,MAIN,42.86,0.000467,389752.0,69583.0,2022-01-26
92309,MAIN,42.82,-0.000933,319221.0,69583.0,2022-01-27
92309,MAIN,42.98,0.003737,335109.0,69583.0,2022-01-28
92309,MAIN,44.24,0.029316,441113.0,69583.0,2022-01-31
92309,MAIN,44.07,0.001017,348193.0,69583.0,2022-02-01
92309,MAIN,44.01,-0.001362,285379.0,69583.0,2022-02-02
92309,MAIN,43.22,-0.01795,276285.0,69583.0,2022-02-03
92309,MAIN,43.7,0.011106,282220.0,69583.0,2022-02-04
92309,MAIN,43.63,-0.001602,271486.0,69583.0,2022-02-07
92309,MAIN,43.63,0.0,274028.0,69583.0,2022-02-08
92309,MAIN,43.56,-0.001604,219291.0,69583.0,2022-02-09
92309,MAIN,43.07,-0.011249,286811.0,69583.0,2022-02-10
92309,MAIN,42.39,-0.015788,400506.0,69583.0,2022-02-11
92309,MAIN,42.29,-0.002359,314124.0,69583.0,2022-02-14
92309,MAIN,42.8,0.01206,255638.0,69583.0,2022-02-15
92309,MAIN,43.02,0.00514,253050.0,69583.0,2022-02-16
92309,MAIN,42.7,-0.007438,198351.0,69583.0,2022-02-17
92309,MAIN,42.88,0.004215,186352.0,69583.0,2022-02-18
92309,MAIN,42.22,-0.015392,332937.0,69583.0,2022-02-22
92309,MAIN,41.93,-0.006869,258552.0,69583.0,2022-02-23
92309,MAIN,41.67,-0.006201,672619.0,69583.0,2022-02-24
92309,MAIN,43.07,0.033597,493509.0,69583.0,2022-02-25
92309,MAIN,43.64,0.013234,500783.0,69583.0,2022-02-28
92309,MAIN,42.75,-0.015467,362513.0,69583.0,2022-03-01
92309,MAIN,43.34,0.013801,424476.0,69583.0,2022-03-02
92309,MAIN,43.39,0.001154,227251.0,69583.0,2022-03-03
92309,MAIN,42.7,-0.015902,337341.0,69583.0,2022-03-04
92309,MAIN,40.43,-0.053162,696605.0,69583.0,2022-03-07
92309,MAIN,40.28,-0.00371,678762.0,69583.0,2022-03-08
92309,MAIN,40.89,0.015144,255904.0,69583.0,2022-03-09
92309,MAIN,40.41,-0.011739,296634.0,69583.0,2022-03-10
92309,MAIN,40.24,-0.004207,240097.0,69583.0,2022-03-11
92309,MAIN,39.94,-0.007455,338641.0,69583.0,2022-03-14
92309,MAIN,40.89,0.023786,263350.0,69583.0,2022-03-15
92309,MAIN,40.95,0.001467,304863.0,69583.0,2022-03-16
92309,MAIN,41.8,0.020757,272507.0,69583.0,2022-03-17
92309,MAIN,41.97,0.004067,529145.0,69583.0,2022-03-18
92309,MAIN,42.19,0.007029,225556.0,69583.0,2022-03-21
92309,MAIN,42.63,0.010429,238373.0,69583.0,2022-03-22
92309,MAIN,41.69,-0.02205,295659.0,69583.0,2022-03-23
92309,MAIN,41.96,0.006476,196361.0,69583.0,2022-03-24
92309,MAIN,42.07,0.002622,247041.0,69583.0,2022-03-25
92309,MAIN,42.25,0.004279,227689.0,69583.0,2022-03-28
92309,MAIN,42.48,0.005444,392067.0,69583.0,2022-03-29
